year,country,historical_name,transition_group,team_score,total_medals,avg_score,best_rank,transition_status
1960,Colombia,Colombia,No Change,87,2,14.5,238,Stable
1960,Costa Rica,Costa Rica,No Change,82,2,13.666666666666666,216,Stable
1960,Croatia,Croatia,No Change,116,5,19.333333333333332,125,Stable
1960,Cuba,Cuba,No Change,68,0,11.333333333333334,327,Stable
1960,Cyprus,Cyprus,No Change,88,3,14.666666666666666,125,Stable
1960,Czech Republic,Czech Republic,No Change,103,4,17.166666666666668,100,Stable
1960,Denmark,Denmark,No Change,88,2,14.666666666666666,182,Stable
1960,Dominican Republic,Dominican Republic,No Change,39,0,6.5,366,Stable
1960,Ecuador,Ecuador,No Change,46,1,7.666666666666667,227,Stable
1960,El Salvador,El Salvador,No Change,17,0,5.666666666666667,434,Stable
1960,Estonia,Estonia,No Change,91,2,15.166666666666666,147,Stable
1960,Finland,Finland,No Change,85,2,14.166666666666666,82,Stable
1960,France,France,No Change,133,5,22.166666666666668,29,Stable
1960,Georgia,Georgia,No Change,108,4,18,29,Stable
1960,Germany,Germany,No Change,120,6,20,100,Stable
1960,Ghana,Ghana,No Change,4,0,0.6666666666666666,533,Stable
1960,Greece,Greece,No Change,126,6,21,29,Stable
1960,Honduras,Honduras,No Change,1,0,1,565,Stable
1960,Hong Kong,Hong Kong,No Change,140,6,23.333333333333332,59,Stable
1960,Hungary,Hungary,No Change,155,6,25.833333333333332,5,Stable
1960,Iceland,Iceland,No Change,35,0,5.833333333333333,425,Stable
1960,India,India,No Change,167,5,27.833333333333332,5,Stable
1960,Indonesia,Indonesia,No Change,111,4,18.5,47,Stable
1960,Iraq,Iraq,No Change,50,2,10,238,Stable
1960,Ireland,Ireland,No Change,67,0,11.166666666666666,327,Stable
1960,Islamic Republic of Iran,Islamic Republic of Iran,No Change,137,5,22.833333333333332,29,Stable
1960,Israel,Israel,No Change,142,6,23.666666666666668,19,Stable
1960,Italy,Italy,No Change,143,6,23.833333333333332,47,Stable
1960,Ivory Coast,Ivory Coast,No Change,19,0,3.1666666666666665,511,Stable
1960,Japan,Japan,No Change,143,5,23.833333333333332,4,Stable
1960,Kazakhstan,Kazakhstan,No Change,127,5,21.166666666666668,59,Stable
1960,Kenya,Kenya,No Change,7,0,1.4,533,Stable
1960,Kosovo,Kosovo,No Change,48,0,8,434,Stable
1960,Kyrgyzstan,Kyrgyzstan,No Change,122,4,20.333333333333332,47,Stable
1960,Latvia,Latvia,No Change,87,2,14.5,182,Stable
1960,Liechtenstein,Liechtenstein,No Change,14,0,14,366,Stable
1960,Lithuania,Lithuania,No Change,94,3,18.8,11,Stable
1960,Luxembourg,Luxembourg,No Change,60,1,10,283,Stable
1960,Macau,Macau,No Change,56,0,9.333333333333334,366,Stable
1960,Malaysia,Malaysia,No Change,118,6,19.666666666666668,59,Stable
1960,Mexico,Mexico,No Change,129,5,21.5,19,Stable
1960,Mongolia,Mongolia,No Change,142,6,23.666666666666668,47,Stable
1960,Myanmar,Myanmar,No Change,30,0,5,457,Stable
1960,Nepal,Nepal,No Change,28,0,4.666666666666667,425,Stable
1960,Netherlands,Netherlands,No Change,109,5,18.166666666666668,59,Stable
1960,New Zealand,New Zealand,No Change,120,6,20,125,Stable
1960,Nicaragua,Nicaragua,No Change,16,1,16,283,Stable
1960,North Macedonia,North Macedonia,No Change,107,3,17.833333333333332,19,Stable
1960,Norway,Norway,No Change,85,3,14.166666666666666,238,Stable
1960,Oman,Oman,No Change,4,0,0.6666666666666666,551,Stable
1960,Pakistan,Pakistan,No Change,64,2,10.666666666666666,100,Stable
